timestamp,delta_time,price,delta_price,sentiment
1754953212,3605,0.345,0.0,0.0
1754956806,3594,0.35,0.0050000000000000044,0.0
1754960407,3601,0.35,0.0,1.0
1754964004,3597,0.35,0.0,0.5
1754967613,3609,0.35,0.0,0.5
1754971214,3601,0.35,0.0,0.5
1754974802,3588,0.35,0.0,1.0
1754978403,3601,0.355,0.0050000000000000044,0.5
1754982014,3611,0.355,0.0,0.5
1754985609,3595,0.37,0.015000000000000013,1.0
1754989202,3593,0.38,0.010000000000000009,0.5
1754992806,3604,0.375,-0.0050000000000000044,0.5
1754996406,3600,0.365,-0.010000000000000009,0.5
1755000014,3608,0.36,-0.0050000000000000044,0.5
1755003611,3597,0.37,0.010000000000000009,0.0
1755007203,3592,0.365,-0.0050000000000000044,0.5
1755010810,3607,0.385,0.020000000000000018,0.5
1755014415,3605,0.375,-0.010000000000000009,0.3333333333333333
1755018011,3596,0.375,0.0,0.0
1755021609,3598,0.36,-0.015000000000000013,0.3333333333333333
1755025206,3597,0.385,0.025000000000000022,0.0
1755028803,3597,0.385,0.0,0.0
1755032409,3606,0.38,-0.0050000000000000044,0.5
1755036007,3598,0.375,-0.0050000000000000044,0.5
1755039613,3606,0.375,0.0,0.5
1755043208,3595,0.375,0.0,0.0
1755046805,3597,0.37,-0.0050000000000000044,0.5
1755050403,3598,0.37,0.0,0.5
1755054002,3599,0.365,-0.0050000000000000044,0.0
1755057615,3613,0.36,-0.0050000000000000044,0.5
1755061213,3598,0.38,0.020000000000000018,0.3333333333333333
1755064810,3597,0.375,-0.0050000000000000044,0.5
1755068411,3601,0.375,0.0,0.5
1755072005,3594,0.37,-0.0050000000000000044,0.0
1755075619,3614,0.375,0.0050000000000000044,0.0
1755079205,3586,0.38,0.0050000000000000044,0.5
1755082808,3603,0.385,0.0050000000000000044,0.5
1755086402,3594,0.385,0.0,1.0
1755090020,3618,0.395,0.010000000000000009,0.5
1755093608,3588,0.39,-0.0050000000000000044,1.0
1755097212,3604,0.4,0.010000000000000009,0.7142857142857143
1755100810,3598,0.39,-0.010000000000000009,0.6666666666666666
1755104406,3596,0.39,0.0,1.0
1755108012,3606,0.385,-0.0050000000000000044,1.0
1755111613,3601,0.385,0.0,0.0
1755115204,3591,0.385,0.0,0.3333333333333333
1755118802,3598,0.38,-0.0050000000000000044,0.0
1755122403,3601,0.38,0.0,0.5
1755126008,3605,0.38,0.0,1.0
1755129607,3599,0.39,0.010000000000000009,0.5
1755133206,3599,0.39,0.0,1.0
1755136806,3600,0.39,0.0,0.5
1755140402,3596,0.39,0.0,0.5
1755144007,3605,0.4,0.010000000000000009,0.5
1755147602,3595,0.395,-0.0050000000000000044,0.5
1755151204,3602,0.39,-0.0050000000000000044,0.5
1755154813,3609,0.39,0.0,0.5
1755158409,3596,0.385,-0.0050000000000000044,0.5
1755162007,3598,0.385,0.0,0.0
1755165606,3599,0.365,-0.020000000000000018,1.0
1755169205,3599,0.37,0.0050000000000000044,1.0
1755172811,3606,0.375,0.0050000000000000044,0.5
1755176413,3602,0.375,0.0,0.5
1755180009,3596,0.355,-0.020000000000000018,0.5
1755183612,3603,0.335,-0.019999999999999962,0.5
1755187215,3603,0.335,0.0,0.5
1755190818,3603,0.35,0.014999999999999958,0.5
1755194416,3598,0.345,-0.0050000000000000044,0.5
1755198009,3593,0.345,0.0,0.5
1755201604,3595,0.34,-0.004999999999999949,1.0
1755205213,3609,0.345,0.004999999999999949,0.5
1755208805,3592,0.34,-0.004999999999999949,0.5
1755212410,3605,0.345,0.004999999999999949,0.5
1755216005,3595,0.345,0.0,0.5
1755219605,3600,0.345,0.0,0.5
1755223207,3602,0.345,0.0,0.5
1755226810,3603,0.345,0.0,0.5
1755230406,3596,0.345,0.0,1.0
1755234007,3601,0.345,0.0,0.5
1755237608,3601,0.345,0.0,0.5
1755241205,3597,0.345,0.0,0.5
1755244814,3609,0.345,0.0,0.9375
